commit,n_solved,geo_mean_time,n_wrong,mean_objective,mean_regret,exact,multicore,status,model_name,description
63cd640,46,0.001,0,0.3090,0.0016,approximate,true,dominated,v45_anytime_1ms,"v43c anytime, time limit capped at 1 ms per pair, with two heuristics that decide the incumbent under short caps: (1) a family of greedy seeds - the lookahead greedy (expansion's best tree) and a gini-gain greedy grown deep and pruned bottom-up under lambda (each installs its tree where it beats the store); (2) a bottom-up exact repair of the incumbent (large neighbourhood search with the solver itself): every internal node of the incumbent, smallest first, is solved as a subproblem with its own value as budget, so it ends exactly optimal or proven so, and improvements propagate to the ancestors.  Both run only under caps up to 1 s (under long caps the search decides and they are overhead); at the 30 s cap the file is v43c.  Approximate by the cap only"
63cd640,46,0.001,0,0.3087,0.0013,approximate,true,frontier,v46_anytime_1ms,"v45 (greedy seeds + bottom-up repair), time limit capped at 1 ms per pair, with four changes for short caps on wide data: (1) an expansion's best tree (leaf-sum split or the pair stage's two-level tree, children installed) becomes the node's incumbent immediately, so a frame left early by the seed or re-armed from the cache keeps it (before, the seed's root expansion found fico_1k's 4-leaf optimum and lost it); (2) the root may spend 2.5 per-expansion shares of the cap on its full pair stage (it is expanded once); (3) when the full pair stage is over budget, a budgeted stage evaluates the k splits with the largest gini gain against all others for the incumbent only (no bounds from it; charged to a global 20%% budget per fit); (4) the repair also solves the incumbent's leaves as subproblems, and search chunks are sized by the slowest expansion seen so far, so caps hold to the millisecond on wide data.  Approximate by the cap only"
63cd640,48,0.001,0,0.3080,0.0006,approximate,true,frontier,v46_anytime_2ms,"v45 (greedy seeds + bottom-up repair), time limit capped at 2 ms per pair, with four changes for short caps on wide data: (1) an expansion's best tree (leaf-sum split or the pair stage's two-level tree, children installed) becomes the node's incumbent immediately, so a frame left early by the seed or re-armed from the cache keeps it (before, the seed's root expansion found fico_1k's 4-leaf optimum and lost it); (2) the root may spend 2.5 per-expansion shares of the cap on its full pair stage (it is expanded once); (3) when the full pair stage is over budget, a budgeted stage evaluates the k splits with the largest gini gain against all others for the incumbent only (no bounds from it; charged to a global 20%% budget per fit); (4) the repair also solves the incumbent's leaves as subproblems, and search chunks are sized by the slowest expansion seen so far, so caps hold to the millisecond on wide data.  Approximate by the cap only"
63cd640,51,0.002,0,0.3082,0.0008,approximate,true,dominated,v46_anytime_5ms,"v45 (greedy seeds + bottom-up repair), time limit capped at 5 ms per pair, with four changes for short caps on wide data: (1) an expansion's best tree (leaf-sum split or the pair stage's two-level tree, children installed) becomes the node's incumbent immediately, so a frame left early by the seed or re-armed from the cache keeps it (before, the seed's root expansion found fico_1k's 4-leaf optimum and lost it); (2) the root may spend 2.5 per-expansion shares of the cap on its full pair stage (it is expanded once); (3) when the full pair stage is over budget, a budgeted stage evaluates the k splits with the largest gini gain against all others for the incumbent only (no bounds from it; charged to a global 20%% budget per fit); (4) the repair also solves the incumbent's leaves as subproblems, and search chunks are sized by the slowest expansion seen so far, so caps hold to the millisecond on wide data.  Approximate by the cap only"
63cd640,52,0.002,0,0.3081,0.0007,approximate,true,dominated,v46_anytime_10ms,"v45 (greedy seeds + bottom-up repair), time limit capped at 10 ms per pair, with four changes for short caps on wide data: (1) an expansion's best tree (leaf-sum split or the pair stage's two-level tree, children installed) becomes the node's incumbent immediately, so a frame left early by the seed or re-armed from the cache keeps it (before, the seed's root expansion found fico_1k's 4-leaf optimum and lost it); (2) the root may spend 2.5 per-expansion shares of the cap on its full pair stage (it is expanded once); (3) when the full pair stage is over budget, a budgeted stage evaluates the k splits with the largest gini gain against all others for the incumbent only (no bounds from it; charged to a global 20%% budget per fit); (4) the repair also solves the incumbent's leaves as subproblems, and search chunks are sized by the slowest expansion seen so far, so caps hold to the millisecond on wide data.  Approximate by the cap only"
63cd640,55,0.003,0,0.3077,0.0003,approximate,true,dominated,v46_anytime_20ms,"v45 (greedy seeds + bottom-up repair), time limit capped at 20 ms per pair, with four changes for short caps on wide data: (1) an expansion's best tree (leaf-sum split or the pair stage's two-level tree, children installed) becomes the node's incumbent immediately, so a frame left early by the seed or re-armed from the cache keeps it (before, the seed's root expansion found fico_1k's 4-leaf optimum and lost it); (2) the root may spend 2.5 per-expansion shares of the cap on its full pair stage (it is expanded once); (3) when the full pair stage is over budget, a budgeted stage evaluates the k splits with the largest gini gain against all others for the incumbent only (no bounds from it; charged to a global 20%% budget per fit); (4) the repair also solves the incumbent's leaves as subproblems, and search chunks are sized by the slowest expansion seen so far, so caps hold to the millisecond on wide data.  Approximate by the cap only"
63cd640,59,0.003,0,0.3074,0.0001,approximate,true,frontier,v46_anytime_50ms,"v45 (greedy seeds + bottom-up repair), time limit capped at 50 ms per pair, with four changes for short caps on wide data: (1) an expansion's best tree (leaf-sum split or the pair stage's two-level tree, children installed) becomes the node's incumbent immediately, so a frame left early by the seed or re-armed from the cache keeps it (before, the seed's root expansion found fico_1k's 4-leaf optimum and lost it); (2) the root may spend 2.5 per-expansion shares of the cap on its full pair stage (it is expanded once); (3) when the full pair stage is over budget, a budgeted stage evaluates the k splits with the largest gini gain against all others for the incumbent only (no bounds from it; charged to a global 20%% budget per fit); (4) the repair also solves the incumbent's leaves as subproblems, and search chunks are sized by the slowest expansion seen so far, so caps hold to the millisecond on wide data.  Approximate by the cap only"
63cd640,61,0.003,0,0.3074,0.0000,approximate,true,frontier,v46_anytime_100ms,"v45 (greedy seeds + bottom-up repair), time limit capped at 100 ms per pair, with four changes for short caps on wide data: (1) an expansion's best tree (leaf-sum split or the pair stage's two-level tree, children installed) becomes the node's incumbent immediately, so a frame left early by the seed or re-armed from the cache keeps it (before, the seed's root expansion found fico_1k's 4-leaf optimum and lost it); (2) the root may spend 2.5 per-expansion shares of the cap on its full pair stage (it is expanded once); (3) when the full pair stage is over budget, a budgeted stage evaluates the k splits with the largest gini gain against all others for the incumbent only (no bounds from it; charged to a global 20%% budget per fit); (4) the repair also solves the incumbent's leaves as subproblems, and search chunks are sized by the slowest expansion seen so far, so caps hold to the millisecond on wide data.  Approximate by the cap only"
63cd640,63,0.004,0,0.3074,0.0000,approximate,true,dominated,v46_anytime_300ms,"v45 (greedy seeds + bottom-up repair), time limit capped at 300 ms per pair, with four changes for short caps on wide data: (1) an expansion's best tree (leaf-sum split or the pair stage's two-level tree, children installed) becomes the node's incumbent immediately, so a frame left early by the seed or re-armed from the cache keeps it (before, the seed's root expansion found fico_1k's 4-leaf optimum and lost it); (2) the root may spend 2.5 per-expansion shares of the cap on its full pair stage (it is expanded once); (3) when the full pair stage is over budget, a budgeted stage evaluates the k splits with the largest gini gain against all others for the incumbent only (no bounds from it; charged to a global 20%% budget per fit); (4) the repair also solves the incumbent's leaves as subproblems, and search chunks are sized by the slowest expansion seen so far, so caps hold to the millisecond on wide data.  Approximate by the cap only"
63cd640,63,0.005,0,0.3074,0.0000,exact,true,keep,v46_topk_pairs,"v45 (greedy seeds + bottom-up repair) with four changes for short caps on wide data: (1) an expansion's best tree (leaf-sum split or the pair stage's two-level tree, children installed) becomes the node's incumbent immediately, so a frame left early by the seed or re-armed from the cache keeps it (before, the seed's root expansion found fico_1k's 4-leaf optimum and lost it); (2) the root may spend 2.5 per-expansion shares of the cap on its full pair stage (it is expanded once); (3) when the full pair stage is over budget, a budgeted stage evaluates the k splits with the largest gini gain against all others for the incumbent only (no bounds from it; charged to a global 20%% budget per fit); (4) the repair also solves the incumbent's leaves as subproblems, and search chunks are sized by the slowest expansion seen so far, so caps hold to the millisecond on wide data.  Approximate by the cap only"
63cd640,0,0.002,0,0.3184,0.0110,approximate,true,dominated (reference point),v47_guesses_like,"v46 run with the gosdt-guesses recipe (McTavish et al. 2022) as options: a boosted-stump reference model (40 rounds, numpy SAMME on the binarised data) whose used features are the thresholds kept (threshold guessing), whose per-row errors give a lower-bound guess for every subproblem (its loss on the capture + lambda, applied at node creation), plus a depth budget of 5.  Not certified (the guessed bounds are not bounds).  A reference point: the same recipe inside our search against gosdt_guesses_guided, and against the anytime rows"
63cd640,63,0.005,0,0.3074,0.0000,exact,true,keep,v48_fast_binarize,"v46 with the preprocessing made fast for wide tables (the search is unchanged): the binary encoder applies one broadcast comparison per numeric column and integer codes per categorical column instead of one pandas operation (or a Python loop) per rule, and the equivalent-points classes are found by hashing packed rows instead of sorting them.  Identical matrices, rules, groups and dataset objects on 17 data sets; full COMPAS (7214 rows, 26401 binary features) binarises in 2 s instead of 82 s and fits in 5 s instead of 86 s.  Exact; the gosdt-guesses options of v47 (threshold guessing, reference lower-bound guess, depth budget) are available but off"
63cd640,63,0.005,0,0.3074,0.0000,exact,true,keep,v49_cands_pairs_lazy_ws,"v48 with three changes for data unlike the suite: (1) the pair stage runs over the surviving candidates only when they are few and that is cheap (|candidates| * nv * W <= 131072 word operations; new kernel depth2_cands), with the non-candidates keeping their own bounds and bounding >=4-leaf trees by their split bound, so nodes with many features and few candidates get exact two-level values instead of no pair stage at all (iris 2.5x faster); (2) frame workspaces start with 16 slots and double on demand (a 26k-feature table cost 634 MB per thread); (3) one binarisation pass instead of two.  Exact; the search is otherwise v46's"
63cd640,49,0.001,0,0.3081,0.0007,approximate,true,frontier,v49_anytime_2ms,"v49 run as an anytime method with the time limit capped at 2 ms per pair (the v46 anytime machinery: cap-scaled chunks, greedy seeds, bottom-up repair, budgeted pair stage) on top of the candidate-only pair stage and lazy workspaces.  Approximate by the cap only"
63cd640,51,0.002,0,0.3082,0.0008,approximate,true,dominated,v49_anytime_5ms,"v49 run as an anytime method with the time limit capped at 5 ms per pair (the v46 anytime machinery: cap-scaled chunks, greedy seeds, bottom-up repair, budgeted pair stage) on top of the candidate-only pair stage and lazy workspaces.  Approximate by the cap only"
63cd640,53,0.002,0,0.3080,0.0006,approximate,true,dominated,v49_anytime_10ms,"v49 run as an anytime method with the time limit capped at 10 ms per pair (the v46 anytime machinery: cap-scaled chunks, greedy seeds, bottom-up repair, budgeted pair stage) on top of the candidate-only pair stage and lazy workspaces.  Approximate by the cap only"
63cd640,55,0.003,0,0.3077,0.0003,approximate,true,frontier,v49_anytime_20ms,"v49 run as an anytime method with the time limit capped at 20 ms per pair (the v46 anytime machinery: cap-scaled chunks, greedy seeds, bottom-up repair, budgeted pair stage) on top of the candidate-only pair stage and lazy workspaces.  Approximate by the cap only"
